date,day_of_week,is_weekend,weather,is_festival,has_promotion,dish_name,category,prepared_qty,sold_qty,wasted_qty,cost_per_unit,waste_cost
2025-01-02,Thursday,False,hot,False,False,Tomato Soup,starter,31.7,28.8,2.9,45,131.65
2025-01-02,Thursday,False,hot,False,False,Mutton Rogan Josh,main,21.2,20.2,1.1,220,238.74
2025-01-02,Thursday,False,hot,False,False,Fresh Fruit Custard,dessert,23.7,23.7,0.0,55,0.0
2025-01-03,Friday,False,rainy,False,False,Paneer Butter Masala,main,36.4,31.4,5.0,120,598.67
2025-01-03,Friday,False,rainy,False,False,Chicken Biryani,main,60.3,55.1,5.2,150,774.22
2025-01-03,Friday,False,rainy,False,False,Veg Salad Bowl,starter,29.7,28.5,1.2,60,73.04
2025-01-03,Friday,False,rainy,False,False,Fish Curry,main,24.8,20.4,4.4,180,791.62
2025-01-03,Friday,False,rainy,False,False,Dal Tadka,main,50.6,40.9,9.7,70,677.98
2025-01-03,Friday,False,rainy,False,False,Butter Naan,bread,84.0,74.5,9.5,20,190.11
2025-01-03,Friday,False,rainy,False,False,Gulab Jamun,dessert,35.4,28.1,7.3,40,293.35
2025-01-03,Friday,False,rainy,False,False,Tomato Soup,starter,25.0,23.3,1.7,45,76.43
2025-01-03,Friday,False,rainy,False,False,Mutton Rogan Josh,main,16.1,14.7,1.4,220,301.18
2025-01-03,Friday,False,rainy,False,False,Fresh Fruit Custard,dessert,24.3,19.8,4.4,55,243.9
2025-01-04,Saturday,True,cloudy,False,False,Paneer Butter Masala,main,68.5,55.0,13.4,120,1613.22
2025-01-04,Saturday,True,cloudy,False,False,Chicken Biryani,main,87.1,71.5,15.6,150,2337.17
2025-01-04,Saturday,True,cloudy,False,False,Veg Salad Bowl,starter,43.6,37.3,6.3,60,380.29
2025-01-04,Saturday,True,cloudy,False,False,Fish Curry,main,34.9,32.2,2.7,180,493.88
2025-01-04,Saturday,True,cloudy,False,False,Dal Tadka,main,72.4,64.3,8.1,70,567.41
2025-01-04,Saturday,True,cloudy,False,False,Butter Naan,bread,130.3,108.2,22.1,20,442.63
2025-01-04,Saturday,True,cloudy,False,False,Gulab Jamun,dessert,61.9,49.8,12.1,40,483.51
2025-01-04,Saturday,True,cloudy,False,False,Tomato Soup,starter,43.1,37.4,5.8,45,259.75
2025-01-04,Saturday,True,cloudy,False,False,Mutton Rogan Josh,main,27.3,26.7,0.6,220,121.87
2025-01-04,Saturday,True,cloudy,False,False,Fresh Fruit Custard,dessert,26.6,24.5,2.0,55,110.64
2025-01-05,Sunday,True,hot,False,False,Paneer Butter Masala,main,55.3,48.1,7.2,120,861.48
2025-01-05,Sunday,True,hot,False,False,Chicken Biryani,main,98.0,85.8,12.1,150,1821.8
2025-01-05,Sunday,True,hot,False,False,Veg Salad Bowl,starter,49.2,44.1,5.1,60,304.18
2025-01-05,Sunday,True,hot,False,False,Fish Curry,main,36.5,32.9,3.6,180,644.65
2025-01-05,Sunday,True,hot,False,False,Dal Tadka,main,72.8,58.3,14.5,70,1014.38
2025-01-05,Sunday,True,hot,False,False,Butter Naan,bread,102.8,85.6,17.1,20,342.99
2025-01-05,Sunday,True,hot,False,False,Gulab Jamun,dessert,54.6,48.6,6.0,40,240.88
2025-01-05,Sunday,True,hot,False,False,Tomato Soup,starter,37.5,31.2,6.3,45,283.83
2025-01-05,Sunday,True,hot,False,False,Mutton Rogan Josh,main,30.4,25.3,5.1,220,1123.44
2025-01-05,Sunday,True,hot,False,False,Fresh Fruit Custard,dessert,40.6,29.8,10.9,55,597.88
2025-01-06,Monday,False,cloudy,False,True,Paneer Butter Masala,main,64.2,51.1,13.1,120,1573.55
2025-01-06,Monday,False,cloudy,False,True,Chicken Biryani,main,104.5,80.0,24.5,150,3680.4
2025-01-06,Monday,False,cloudy,False,True,Veg Salad Bowl,starter,54.8,39.1,15.7,60,943.04
2025-01-06,Monday,False,cloudy,False,True,Fish Curry,main,31.8,26.8,5.0,180,897.12
2025-01-06,Monday,False,cloudy,False,True,Dal Tadka,main,59.1,50.0,9.1,70,636.79
2025-01-06,Monday,False,cloudy,False,True,Butter Naan,bread,106.1,83.5,22.7,20,453.27
2025-01-06,Monday,False,cloudy,False,True,Gulab Jamun,dessert,46.2,42.6,3.6,40,145.25
2025-01-06,Monday,False,cloudy,False,True,Tomato Soup,starter,39.2,30.7,8.5,45,382.04
2025-01-06,Monday,False,cloudy,False,True,Mutton Rogan Josh,main,39.2,27.5,11.7,220,2581.54
2025-01-06,Monday,False,cloudy,False,True,Fresh Fruit Custard,dessert,48.3,37.1,11.2,55,616.03
2025-01-07,Tuesday,False,cloudy,False,False,Paneer Butter Masala,main,41.3,41.3,0.0,120,0.0
2025-01-07,Tuesday,False,cloudy,False,False,Chicken Biryani,main,52.3,52.3,0.0,150,0.0
2025-01-07,Tuesday,False,cloudy,False,False,Veg Salad Bowl,starter,33.8,29.5,4.3,60,256.54
2025-01-07,Tuesday,False,cloudy,False,False,Fish Curry,main,26.4,25.5,0.9,180,168.15
2025-01-07,Tuesday,False,cloudy,False,False,Dal Tadka,main,39.4,39.4,0.0,70,0.0
2025-01-07,Tuesday,False,cloudy,False,False,Butter Naan,bread,75.8,75.3,0.4,20,8.52
2025-01-07,Tuesday,False,cloudy,False,False,Gulab Jamun,dessert,44.2,42.4,1.7,40,69.13
2025-01-07,Tuesday,False,cloudy,False,False,Tomato Soup,starter,31.4,31.3,0.1,45,4.59
2025-01-07,Tuesday,False,cloudy,False,False,Mutton Rogan Josh,main,17.2,17.2,0.0,220,0.0
2025-01-07,Tuesday,False,cloudy,False,False,Fresh Fruit Custard,dessert,24.9,20.1,4.8,55,265.67
2025-01-08,Wednesday,False,rainy,False,False,Paneer Butter Masala,main,38.6,30.3,8.3,120,994.29
2025-01-08,Wednesday,False,rainy,False,False,Chicken Biryani,main,56.7,48.9,7.8,150,1175.85
2025-01-08,Wednesday,False,rainy,False,False,Veg Salad Bowl,starter,29.0,25.4,3.6,60,216.01
2025-01-08,Wednesday,False,rainy,False,False,Fish Curry,main,25.9,22.4,3.5,180,629.94
2025-01-08,Wednesday,False,rainy,False,False,Dal Tadka,main,34.3,32.6,1.6,70,115.06
2025-01-08,Wednesday,False,rainy,False,False,Butter Naan,bread,90.7,69.4,21.3,20,425.53
2025-01-08,Wednesday,False,rainy,False,False,Gulab Jamun,dessert,35.4,30.3,5.1,40,204.73
2025-01-08,Wednesday,False,rainy,False,False,Tomato Soup,starter,32.5,24.6,7.9,45,354.31
2025-01-08,Wednesday,False,rainy,False,False,Mutton Rogan Josh,main,19.9,17.4,2.5,220,542.02
2025-01-08,Wednesday,False,rainy,False,False,Fresh Fruit Custard,dessert,26.5,21.2,5.3,55,293.01
2025-01-09,Thursday,False,rainy,False,False,Paneer Butter Masala,main,30.6,29.0,1.6,120,192.47
2025-01-09,Thursday,False,rainy,False,False,Chicken Biryani,main,74.9,56.0,18.9,150,2831.6
2025-01-09,Thursday,False,rainy,False,False,Veg Salad Bowl,starter,29.1,25.0,4.2,60,251.59
2025-01-09,Thursday,False,rainy,False,False,Fish Curry,main,27.3,25.0,2.3,180,421.36
2025-01-09,Thursday,False,rainy,False,False,Dal Tadka,main,42.0,34.1,7.9,70,550.22
2025-01-09,Thursday,False,rainy,False,False,Butter Naan,bread,75.1,64.8,10.3,20,206.68
2025-01-09,Thursday,False,rainy,False,False,Gulab Jamun,dessert,35.3,29.2,6.2,40,247.18
2025-01-09,Thursday,False,rainy,False,False,Tomato Soup,starter,33.5,27.8,5.7,45,254.96
2025-01-09,Thursday,False,rainy,False,False,Mutton Rogan Josh,main,18.3,18.3,0.0,220,0.0
2025-01-09,Thursday,False,rainy,False,False,Fresh Fruit Custard,dessert,21.0,18.6,2.4,55,131.26
2025-01-10,Friday,False,cloudy,False,False,Paneer Butter Masala,main,42.7,38.4,4.3,120,510.69
2025-01-10,Friday,False,cloudy,False,False,Chicken Biryani,main,47.5,46.2,1.3,150,190.85
2025-01-10,Friday,False,cloudy,False,False,Veg Salad Bowl,starter,29.0,28.3,0.8,60,46.36
2025-01-10,Friday,False,cloudy,False,False,Fish Curry,main,30.7,28.0,2.7,180,479.96
2025-01-10,Friday,False,cloudy,False,False,Dal Tadka,main,52.6,52.2,0.4,70,27.02
2025-01-10,Friday,False,cloudy,False,False,Butter Naan,bread,73.3,73.3,0.0,20,0.0
2025-01-10,Friday,False,cloudy,False,False,Gulab Jamun,dessert,37.6,36.0,1.6,40,64.18
2025-01-10,Friday,False,cloudy,False,False,Tomato Soup,starter,25.6,24.4,1.3,45,57.61
2025-01-10,Friday,False,cloudy,False,False,Mutton Rogan Josh,main,25.4,20.5,4.9,220,1073.35
2025-01-10,Friday,False,cloudy,False,False,Fresh Fruit Custard,dessert,27.0,27.0,0.0,55,0.0
2025-01-11,Saturday,True,rainy,False,False,Paneer Butter Masala,main,58.4,42.6,15.7,120,1886.88
2025-01-11,Saturday,True,rainy,False,False,Chicken Biryani,main,90.1,72.2,17.9,150,2684.45
2025-01-11,Saturday,True,rainy,False,False,Veg Salad Bowl,starter,35.6,31.7,3.9,60,232.66
2025-01-11,Saturday,True,rainy,False,False,Fish Curry,main,34.7,28.1,6.6,180,1191.11
2025-01-11,Saturday,True,rainy,False,False,Dal Tadka,main,59.4,48.4,11.0,70,769.76
2025-01-11,Saturday,True,rainy,False,False,Butter Naan,bread,102.2,90.8,11.4,20,228.34
2025-01-11,Saturday,True,rainy,False,False,Gulab Jamun,dessert,51.5,33.1,18.4,40,736.7
2025-01-11,Saturday,True,rainy,False,False,Tomato Soup,starter,33.3,27.2,6.2,45,277.49
2025-01-11,Saturday,True,rainy,False,False,Mutton Rogan Josh,main,45.9,28.0,17.9,220,3938.1
2025-01-11,Saturday,True,rainy,False,False,Fresh Fruit Custard,dessert,28.6,21.7,6.9,55,381.77
2025-01-12,Sunday,True,clear,False,False,Paneer Butter Masala,main,55.3,47.6,7.7,120,924.0
2025-01-12,Sunday,True,clear,False,False,Chicken Biryani,main,98.7,81.2,17.5,150,2628.5
2025-01-12,Sunday,True,clear,False,False,Veg Salad Bowl,starter,46.1,38.7,7.4,60,445.73
2025-01-12,Sunday,True,clear,False,False,Fish Curry,main,33.2,28.2,5.0,180,898.55
2025-01-12,Sunday,True,clear,False,False,Dal Tadka,main,70.1,58.8,11.3,70,789.27
2025-01-12,Sunday,True,clear,False,False,Butter Naan,bread,121.3,100.8,20.5,20,410.79
2025-01-12,Sunday,True,clear,False,False,Gulab Jamun,dessert,63.3,53.0,10.3,40,412.64
2025-01-12,Sunday,True,clear,False,False,Tomato Soup,starter,47.3,39.4,7.9,45,354.7
2025-01-12,Sunday,True,clear,False,False,Mutton Rogan Josh,main,30.0,27.0,3.0,220,664.6
2025-01-12,Sunday,True,clear,False,False,Fresh Fruit Custard,dessert,37.0,30.8,6.2,55,340.1
2025-01-13,Monday,False,clear,False,False,Paneer Butter Masala,main,41.9,41.9,0.0,120,0.0
2025-01-13,Monday,False,clear,False,False,Chicken Biryani,main,53.5,47.7,5.8,150,876.96
2025-01-13,Monday,False,clear,False,False,Veg Salad Bowl,starter,33.9,30.9,3.0,60,177.36
2025-01-13,Monday,False,clear,False,False,Fish Curry,main,22.3,19.8,2.5,180,455.08
2025-01-13,Monday,False,clear,False,False,Dal Tadka,main,47.5,47.5,0.0,70,0.0
2025-01-13,Monday,False,clear,False,False,Butter Naan,bread,77.8,75.5,2.4,20,47.26
2025-01-13,Monday,False,clear,False,False,Gulab Jamun,dessert,35.4,35.2,0.2,40,8.35
2025-01-13,Monday,False,clear,False,False,Tomato Soup,starter,28.3,27.7,0.7,45,29.78
2025-01-13,Monday,False,clear,False,False,Mutton Rogan Josh,main,23.4,20.4,3.1,220,677.69
2025-01-13,Monday,False,clear,False,False,Fresh Fruit Custard,dessert,15.8,15.2,0.6,55,33.42
2025-01-14,Tuesday,False,cloudy,False,False,Paneer Butter Masala,main,38.2,38.2,0.0,120,0.0
2025-01-14,Tuesday,False,cloudy,False,False,Chicken Biryani,main,66.7,57.2,9.5,150,1428.91
2025-01-14,Tuesday,False,cloudy,False,False,Veg Salad Bowl,starter,27.6,24.5,3.1,60,187.86
2025-01-14,Tuesday,False,cloudy,False,False,Fish Curry,main,25.1,24.0,1.1,180,193.86
2025-01-14,Tuesday,False,cloudy,False,False,Dal Tadka,main,39.3,39.3,0.0,70,0.0
2025-01-14,Tuesday,False,cloudy,False,False,Butter Naan,bread,97.8,92.5,5.3,20,105.57
2025-01-14,Tuesday,False,cloudy,False,False,Gulab Jamun,dessert,47.6,42.3,5.4,40,214.79
2025-01-14,Tuesday,False,cloudy,False,False,Tomato Soup,starter,35.1,29.5,5.6,45,253.07
2025-01-14,Tuesday,False,cloudy,False,False,Mutton Rogan Josh,main,23.1,21.1,2.1,220,454.96
2025-01-14,Tuesday,False,cloudy,False,False,Fresh Fruit Custard,dessert,22.6,21.2,1.4,55,76.6
2025-01-15,Wednesday,False,clear,False,False,Paneer Butter Masala,main,37.8,34.3,3.4,120,411.22
2025-01-15,Wednesday,False,clear,False,False,Chicken Biryani,main,60.2,53.7,6.5,150,975.75
2025-01-15,Wednesday,False,clear,False,False,Veg Salad Bowl,starter,39.5,32.7,6.8,60,409.44
2025-01-15,Wednesday,False,clear,False,False,Fish Curry,main,27.2,27.2,0.0,180,0.0
2025-01-15,Wednesday,False,clear,False,False,Dal Tadka,main,44.6,44.6,0.0,70,0.0
2025-01-15,Wednesday,False,clear,False,False,Butter Naan,bread,84.9,75.0,9.9,20,198.23
2025-01-15,Wednesday,False,clear,False,False,Gulab Jamun,dessert,37.7,37.7,0.0,40,0.0
2025-01-15,Wednesday,False,clear,False,False,Tomato Soup,starter,25.8,24.6,1.2,45,52.84
2025-01-15,Wednesday,False,clear,False,False,Mutton Rogan Josh,main,17.1,17.1,0.0,220,0.0
2025-01-15,Wednesday,False,clear,False,False,Fresh Fruit Custard,dessert,26.4,22.8,3.6,55,198.3
2025-01-16,Thursday,False,cloudy,False,False,Paneer Butter Masala,main,43.2,41.5,1.7,120,203.81
2025-01-16,Thursday,False,cloudy,False,False,Chicken Biryani,main,66.8,57.7,9.1,150,1364.16
2025-01-16,Thursday,False,cloudy,False,False,Veg Salad Bowl,starter,22.7,22.6,0.1,60,6.92
2025-01-16,Thursday,False,cloudy,False,False,Fish Curry,main,26.8,26.8,0.0,180,0.0
2025-01-16,Thursday,False,cloudy,False,False,Dal Tadka,main,55.6,53.0,2.7,70,185.61
2025-01-16,Thursday,False,cloudy,False,False,Butter Naan,bread,88.1,88.1,0.0,20,0.0
2025-01-16,Thursday,False,cloudy,False,False,Gulab Jamun,dessert,43.0,38.4,4.5,40,181.4
2025-01-16,Thursday,False,cloudy,False,False,Tomato Soup,starter,30.6,28.8,1.9,45,83.67
2025-01-16,Thursday,False,cloudy,False,False,Mutton Rogan Josh,main,20.6,20.6,0.0,220,0.0
2025-01-16,Thursday,False,cloudy,False,False,Fresh Fruit Custard,dessert,22.6,21.6,1.0,55,55.94
2025-01-17,Friday,False,clear,False,False,Paneer Butter Masala,main,35.8,34.9,0.9,120,103.29
2025-01-17,Friday,False,clear,False,False,Chicken Biryani,main,64.8,64.8,0.0,150,0.0
2025-01-17,Friday,False,clear,False,False,Veg Salad Bowl,starter,29.0,27.0,1.9,60,116.93
2025-01-17,Friday,False,clear,False,False,Fish Curry,main,28.9,27.5,1.4,180,252.56
2025-01-17,Friday,False,clear,False,False,Dal Tadka,main,56.9,52.2,4.7,70,328.4
2025-01-17,Friday,False,clear,False,False,Butter Naan,bread,92.9,88.1,4.8,20,96.49
2025-01-17,Friday,False,clear,False,False,Gulab Jamun,dessert,45.4,44.8,0.6,40,23.45
2025-01-17,Friday,False,clear,False,False,Tomato Soup,starter,25.1,21.3,3.8,45,171.43
2025-01-17,Friday,False,clear,False,False,Mutton Rogan Josh,main,19.6,18.9,0.7,220,161.71
2025-01-17,Friday,False,clear,False,False,Fresh Fruit Custard,dessert,25.5,25.5,0.0,55,0.0
2025-01-18,Saturday,True,clear,False,False,Paneer Butter Masala,main,59.9,48.9,11.1,120,1328.89
2025-01-18,Saturday,True,clear,False,False,Chicken Biryani,main,94.8,78.9,15.9,150,2379.1
2025-01-18,Saturday,True,clear,False,False,Veg Salad Bowl,starter,33.6,33.6,0.0,60,0.0
2025-01-18,Saturday,True,clear,False,False,Fish Curry,main,39.2,34.0,5.3,180,945.99
2025-01-18,Saturday,True,clear,False,False,Dal Tadka,main,79.2,64.1,15.1,70,1057.58
2025-01-18,Saturday,True,clear,False,False,Butter Naan,bread,135.1,109.8,25.3,20,506.23
2025-01-18,Saturday,True,clear,False,False,Gulab Jamun,dessert,59.7,48.5,11.2,40,446.73
2025-01-18,Saturday,True,clear,False,False,Tomato Soup,starter,40.8,34.6,6.2,45,276.91
2025-01-18,Saturday,True,clear,False,False,Mutton Rogan Josh,main,34.8,27.6,7.1,220,1565.41
2025-01-18,Saturday,True,clear,False,False,Fresh Fruit Custard,dessert,35.7,28.3,7.4,55,405.34
2025-01-19,Sunday,True,clear,False,True,Paneer Butter Masala,main,86.4,74.2,12.2,120,1462.14
2025-01-19,Sunday,True,clear,False,True,Chicken Biryani,main,95.0,78.4,16.6,150,2491.79
2025-01-19,Sunday,True,clear,False,True,Veg Salad Bowl,starter,48.4,36.4,12.0,60,718.97
2025-01-19,Sunday,True,clear,False,True,Fish Curry,main,62.9,46.0,16.9,180,3046.58
2025-01-19,Sunday,True,clear,False,True,Dal Tadka,main,115.8,77.7,38.0,70,2663.09
2025-01-19,Sunday,True,clear,False,True,Butter Naan,bread,211.7,156.5,55.2,20,1103.32
2025-01-19,Sunday,True,clear,False,True,Gulab Jamun,dessert,95.4,68.7,26.8,40,1071.5
2025-01-19,Sunday,True,clear,False,True,Tomato Soup,starter,56.5,42.5,14.0,45,628.6
2025-01-19,Sunday,True,clear,False,True,Mutton Rogan Josh,main,35.6,27.8,7.8,220,1721.54
2025-01-19,Sunday,True,clear,False,True,Fresh Fruit Custard,dessert,53.3,35.5,17.8,55,978.34
2025-01-20,Monday,False,hot,False,False,Paneer Butter Masala,main,41.9,41.9,0.0,120,0.0
2025-01-20,Monday,False,hot,False,False,Chicken Biryani,main,59.0,58.1,0.8,150,124.27
2025-01-20,Monday,False,hot,False,False,Veg Salad Bowl,starter,26.5,23.4,3.1,60,187.29
2025-01-20,Monday,False,hot,False,False,Fish Curry,main,23.3,23.2,0.1,180,21.5
2025-01-20,Monday,False,hot,False,False,Dal Tadka,main,39.2,39.2,0.0,70,0.0
2025-01-20,Monday,False,hot,False,False,Butter Naan,bread,84.1,84.1,0.0,20,0.0
2025-01-20,Monday,False,hot,False,False,Gulab Jamun,dessert,38.6,36.4,2.2,40,87.05
2025-01-20,Monday,False,hot,False,False,Tomato Soup,starter,33.0,32.4,0.5,45,23.86
2025-01-20,Monday,False,hot,False,False,Mutton Rogan Josh,main,18.4,16.5,1.9,220,426.97
2025-01-20,Monday,False,hot,False,False,Fresh Fruit Custard,dessert,24.4,21.1,3.3,55,179.53
2025-01-21,Tuesday,False,clear,False,False,Paneer Butter Masala,main,49.9,41.7,8.2,120,982.9
2025-01-21,Tuesday,False,clear,False,False,Chicken Biryani,main,70.8,68.7,2.1,150,316.29
2025-01-21,Tuesday,False,clear,False,False,Veg Salad Bowl,starter,35.0,30.6,4.5,60,267.55
2025-01-21,Tuesday,False,clear,False,False,Fish Curry,main,24.2,22.5,1.8,180,315.29
2025-01-21,Tuesday,False,clear,False,False,Dal Tadka,main,46.9,44.9,2.0,70,143.24
2025-01-21,Tuesday,False,clear,False,False,Butter Naan,bread,72.0,72.0,0.0,20,0.0
2025-01-21,Tuesday,False,clear,False,False,Gulab Jamun,dessert,26.3,26.3,0.0,40,0.0
2025-01-21,Tuesday,False,clear,False,False,Tomato Soup,starter,27.0,26.5,0.5,45,24.4
2025-01-21,Tuesday,False,clear,False,False,Mutton Rogan Josh,main,27.6,24.6,3.0,220,656.89
2025-01-21,Tuesday,False,clear,False,False,Fresh Fruit Custard,dessert,21.2,19.5,1.7,55,95.78
2025-01-22,Wednesday,False,rainy,False,False,Paneer Butter Masala,main,43.2,34.8,8.5,120,1016.4
2025-01-22,Wednesday,False,rainy,False,False,Chicken Biryani,main,57.2,44.8,12.3,150,1849.94
2025-01-22,Wednesday,False,rainy,False,False,Veg Salad Bowl,starter,26.5,22.0,4.5,60,271.48
2025-01-22,Wednesday,False,rainy,False,False,Fish Curry,main,34.0,27.9,6.2,180,1110.92
2025-01-22,Wednesday,False,rainy,False,False,Dal Tadka,main,52.8,44.8,8.0,70,560.34
2025-01-22,Wednesday,False,rainy,False,False,Butter Naan,bread,84.0,72.7,11.3,20,225.1
2025-01-22,Wednesday,False,rainy,False,False,Gulab Jamun,dessert,32.2,29.1,3.1,40,124.05
2025-01-22,Wednesday,False,rainy,False,False,Tomato Soup,starter,27.9,25.0,2.8,45,127.94
2025-01-22,Wednesday,False,rainy,False,False,Mutton Rogan Josh,main,23.5,18.4,5.2,220,1140.74
2025-01-22,Wednesday,False,rainy,False,False,Fresh Fruit Custard,dessert,23.1,19.5,3.6,55,195.73
2025-01-23,Thursday,False,clear,False,False,Paneer Butter Masala,main,44.5,44.5,0.0,120,0.0
2025-01-23,Thursday,False,clear,False,False,Chicken Biryani,main,52.8,52.8,0.0,150,0.0
2025-01-23,Thursday,False,clear,False,False,Veg Salad Bowl,starter,28.8,24.6,4.2,60,251.26
2025-01-23,Thursday,False,clear,False,False,Fish Curry,main,27.7,27.7,0.0,180,0.0
2025-01-23,Thursday,False,clear,False,False,Dal Tadka,main,36.9,36.9,0.0,70,0.0
2025-01-23,Thursday,False,clear,False,False,Butter Naan,bread,90.2,74.8,15.4,20,307.46
2025-01-23,Thursday,False,clear,False,False,Gulab Jamun,dessert,36.8,36.8,0.0,40,0.0
2025-01-23,Thursday,False,clear,False,False,Tomato Soup,starter,29.6,29.6,0.0,45,0.0
2025-01-23,Thursday,False,clear,False,False,Mutton Rogan Josh,main,20.0,19.3,0.7,220,162.07
2025-01-23,Thursday,False,clear,False,False,Fresh Fruit Custard,dessert,24.5,21.8,2.8,55,152.15
2025-01-24,Friday,False,cloudy,True,False,Paneer Butter Masala,main,84.0,58.7,25.3,120,3035.85
2025-01-24,Friday,False,cloudy,True,False,Chicken Biryani,main,128.6,105.2,23.4,150,3505.8
2025-01-24,Friday,False,cloudy,True,False,Veg Salad Bowl,starter,64.3,42.9,21.4,60,1286.09
2025-01-24,Friday,False,cloudy,True,False,Fish Curry,main,58.7,39.1,19.6,180,3528.68
2025-01-24,Friday,False,cloudy,True,False,Dal Tadka,main,100.5,68.2,32.3,70,2260.44
2025-01-24,Friday,False,cloudy,True,False,Butter Naan,bread,173.8,130.0,43.8,20,876.49
2025-01-24,Friday,False,cloudy,True,False,Gulab Jamun,dessert,85.9,66.5,19.4,40,775.58
2025-01-24,Friday,False,cloudy,True,False,Tomato Soup,starter,51.5,39.7,11.8,45,530.66
2025-01-24,Friday,False,cloudy,True,False,Mutton Rogan Josh,main,39.2,33.7,5.5,220,1212.8
2025-01-24,Friday,False,cloudy,True,False,Fresh Fruit Custard,dessert,49.3,37.9,11.4,55,628.11
2025-01-25,Saturday,True,cloudy,False,False,Paneer Butter Masala,main,50.1,48.9,1.2,120,147.43
2025-01-25,Saturday,True,cloudy,False,False,Chicken Biryani,main,80.2,66.9,13.3,150,1989.4
2025-01-25,Saturday,True,cloudy,False,False,Veg Salad Bowl,starter,46.8,39.6,7.2,60,429.36
2025-01-25,Saturday,True,cloudy,False,False,Fish Curry,main,40.4,33.1,7.3,180,1308.14
2025-01-25,Saturday,True,cloudy,False,False,Dal Tadka,main,66.0,53.4,12.6,70,882.73
2025-01-25,Saturday,True,cloudy,False,False,Butter Naan,bread,139.4,116.6,22.8,20,456.4
2025-01-25,Saturday,True,cloudy,False,False,Gulab Jamun,dessert,60.9,50.4,10.5,40,419.34
2025-01-25,Saturday,True,cloudy,False,False,Tomato Soup,starter,55.8,47.0,8.8,45,395.08
2025-01-25,Saturday,True,cloudy,False,False,Mutton Rogan Josh,main,28.8,26.0,2.8,220,622.84
2025-01-25,Saturday,True,cloudy,False,False,Fresh Fruit Custard,dessert,28.4,26.0,2.3,55,128.14
2025-01-26,Sunday,True,cloudy,False,False,Paneer Butter Masala,main,56.8,48.2,8.6,120,1032.15
2025-01-26,Sunday,True,cloudy,False,False,Chicken Biryani,main,91.1,77.2,13.9,150,2082.94
2025-01-26,Sunday,True,cloudy,False,False,Veg Salad Bowl,starter,47.5,36.8,10.7,60,643.89
2025-01-26,Sunday,True,cloudy,False,False,Fish Curry,main,43.5,36.7,6.8,180,1221.44
2025-01-26,Sunday,True,cloudy,False,False,Dal Tadka,main,68.4,56.0,12.4,70,867.47
2025-01-26,Sunday,True,cloudy,False,False,Butter Naan,bread,113.3,110.4,2.8,20,56.57
2025-01-26,Sunday,True,cloudy,False,False,Gulab Jamun,dessert,56.5,46.9,9.6,40,383.79
2025-01-26,Sunday,True,cloudy,False,False,Tomato Soup,starter,40.9,33.7,7.2,45,323.42
2025-01-26,Sunday,True,cloudy,False,False,Mutton Rogan Josh,main,29.1,22.3,6.8,220,1500.99
2025-01-26,Sunday,True,cloudy,False,False,Fresh Fruit Custard,dessert,40.5,34.1,6.3,55,348.5
2025-01-27,Monday,False,hot,False,False,Paneer Butter Masala,main,34.8,34.4,0.4,120,44.13
2025-01-27,Monday,False,hot,False,False,Chicken Biryani,main,51.9,47.9,4.0,150,600.83
2025-01-27,Monday,False,hot,False,False,Veg Salad Bowl,starter,37.2,37.2,0.0,60,0.0
2025-01-27,Monday,False,hot,False,False,Fish Curry,main,24.1,22.5,1.6,180,282.44
2025-01-27,Monday,False,hot,False,False,Dal Tadka,main,53.7,53.7,0.0,70,0.0
